VEHICLE_CLASS,ENGINE_SIZE_L_,FuelConsCity,FuelConsHwy,CityMPG,HwyMPG,CO2
COMPACT,2,7.2,4.8,39,59,140
MID-SIZE,1.5,8.8,5.5,32,51,168
MID-SIZE,1.6,8.1,5.3,35,53,159
MID-SIZE,2,9.2,5.9,31,48,177
MID-SIZE,2.5,9.2,5.8,31,49,177
MID-SIZE,1.5,8.2,5.2,34,54,156
MID-SIZE,2,9.5,6.3,30,45,184
MID-SIZE,2,4.3,4.7,66,60,104
SUBCOMPACT,3.7,10.7,6.5,26,43,202
SUBCOMPACT,3.7,11.2,6.8,25,42,212
SUBCOMPACT,5,11.8,7.8,24,36,230
SUBCOMPACT,5,13.8,7.9,20,36,255
SUBCOMPACT,3.7,11,6.9,26,41,209
FULL-SIZE,2,9.2,6.1,31,46,179
FULL-SIZE,3.5,12.2,7.9,23,36,237
FULL-SIZE,3.5,10.7,6.8,26,42,207
FULL-SIZE,3.5,11.5,7.7,25,37,225
VAN - CARGO,1.6,9.4,6.7,30,42,189
VAN - CARGO,2.5,9.9,6.9,29,41,198
VAN - PASSE,1.6,10.1,7,28,40,200
VAN - PASSE,2.5,10.5,7.1,27,40,207
SUV - STAND,3.6,12.7,8.4,22,34,248
SUV - STAND,3.6,13.3,8.8,21,32,258
VAN - CARGO,4.3,15.4,10.8,18,26,306
VAN - CARGO,5.3,16.2,11.4,17,25,324
VAN - CARGO,5.3,16.5,12.1,17,23,334
VAN - CARGO,5.3,16.8,11.9,17,24,336
VAN - CARGO,5.3,16.5,12.1,17,23,334
VAN - PASSE,5.3,16.8,11.9,17,24,336
VAN - PASSE,5.3,16.5,12.1,17,23,334
VAN - PASSE,4.8,19.1,12.1,15,23,368
VAN - PASSE,6,19.9,12.8,14,22,384
VAN - PASSE,4.8,19.3,12.2,15,23,370
VAN - PASSE,6,20.1,12.8,14,22,386
PICKUP TRUC,4.3,11.9,8.4,24,34,239
PICKUP TRUC,5.3,13,8.7,22,32,253
PICKUP TRUC,4.3,12.6,9,22,31,253
PICKUP TRUC,5.3,13.3,9,21,31,262
SUV - SMALL,2.4,9.2,6.1,31,46,179
SUV - SMALL,3.6,12.4,8.1,23,35,242
SUV - SMALL,2.4,10.1,6.9,28,41,200
SUV - SMALL,3.6,13.2,8.4,21,34,253
SUV - STAND,5.3,14.3,9.4,20,30,278
SUV - STAND,5.3,14.3,9.4,20,30,278
SUV - STAND,5.3,14.3,9.4,20,30,278
SUV - STAND,5.3,14.3,9.4,20,30,278
MID-SIZE,2.4,7.8,5.5,36,51,154
MID-SIZE,2.4,7.8,5.7,36,50,159
MID-SIZE,2.4,8.8,5.8,32,49,170
MID-SIZE,3.5,9.6,5.7,29,50,182
MID-SIZE,3.5,10,6.1,28,46,189
MID-SIZE,3.5,11.5,7.1,25,40,218
MID-SIZE,2,3.7,4,76,71,87
COMPACT,1.8,6.7,5,42,56,138
COMPACT,1.8,6.9,5.1,41,55,140
COMPACT,1.8,7.3,5.5,39,51,150
SUV - SMALL,3.5,11.1,7.1,25,40,214
SUV - SMALL,2.4,9,6.4,31,44,179
SUV - SMALL,2.4,9.2,6.6,31,43,186
TWO-SEATER,1.5,5.4,5,52,56,120
TWO-SEATER,1.5,6.4,5.1,44,55,133
STATION WAG,1.5,7.1,5.4,40,52,145
STATION WAG,1.5,7.1,5.7,40,50,150
MINIVAN,3.5,10.9,7.1,26,40,212
SUV - SMALL,3.5,11.8,7.8,24,36,230
SUV - SMALL,3.5,12.3,8.2,23,34,242
PICKUP TRUC,3.5,13.6,9.6,21,29,271
COMPACT,1.6,7.6,5.2,37,54,150
COMPACT,1.6,7.5,5.3,38,53,150
MID-SIZE,2,8.5,6,33,47,168
MID-SIZE,2,8.5,5.8,33,49,168
FULL-SIZE,3.8,11.5,7.3,25,39,221
FULL-SIZE,2,10,6.3,28,45,193
FULL-SIZE,2.4,8.5,5.8,33,49,168
MID-SIZE,2.4,5.4,4.9,52,58,120
MID-SIZE,2.4,5.5,4.9,51,58,120
COMPACT,1.6,7.4,5.5,38,51,150
COMPACT,1.6,7.8,5.6,36,50,156
COMPACT,1.6,8.6,6.3,33,45,175
COMPACT,1.6,8.4,5.9,34,48,168
SUV - SMALL,3.3,11.5,7.7,25,37,225
SUV - SMALL,3.3,11.8,8,24,35,232
SUV - SMALL,2.4,10.2,7.3,28,39,205
SUV - SMALL,2,11.4,8.2,25,34,230
SUV - SMALL,2.4,11,7.9,26,36,221
SUV - SMALL,2,8.9,6.9,32,41,184
SUV - SMALL,2,10,7.2,28,39,200
SUV - SMALL,2.4,9.9,7,29,40,198
SUV - SMALL,2,10,7.8,28,36,207
SUV - SMALL,2.4,10.2,7.8,28,36,209
SUV - STAND,2.5,7.6,6.9,37,41,168
SUV - SMALL,2.4,9.6,6.4,29,44,189
SUV - SMALL,3.2,10.8,7,26,40,209
SUV - SMALL,2.4,9.9,7,29,40,198
SUV - SMALL,3.2,11.1,7.4,25,38,216
SUV - SMALL,2.4,10,7.3,28,39,202
SUV - SMALL,3.2,11.1,7.7,25,37,218
SUV - SMALL,2.4,10.7,7.9,26,36,216
SUV - SMALL,3.2,11.9,8,24,35,232
SUV - SMALL,2,9.7,7,29,40,195
SUV - SMALL,2,8.9,6.6,32,43,182
SUV - SMALL,2.4,9.8,7,29,40,195
SUV - SMALL,2.4,9,7,31,40,186
SUV - SMALL,2.4,10,7.4,28,38,202
SUV - SMALL,2.4,9,7,31,40,186
SUV - SMALL,2.4,10.3,8.7,27,32,221
SUV - STAND,5.7,15.6,9.9,18,29,299
SUV - STAND,3.6,12.4,8.3,23,34,244
SUV - SMALL,2,9.7,7,29,40,195
SUV - SMALL,2,8.9,6.6,32,43,182
SUV - SMALL,2.4,9.8,7,29,40,195
SUV - SMALL,2.4,9,7,31,40,186
SUV - SMALL,2.4,10,7.4,28,38,202
SUV - SMALL,2.4,9,7,31,40,186
SUV - SMALL,2.4,10.3,8.7,27,32,221
SUV - SMALL,3.6,12.6,9.4,22,30,258
SUV - SMALL,3.6,12.7,9.3,22,30,258
SUV - SMALL,3.6,13.2,10,21,28,269
SUV - SMALL,3.6,13.4,9.6,21,29,269
FULL-SIZE,3.3,11.2,7.4,25,38,218
MID-SIZE,1.8,8.3,5.5,34,51,161
MID-SIZE,1.8,8,5.3,35,53,156
MID-SIZE,2,8.5,5.5,33,51,166
MID-SIZE,2,8.4,5.7,34,50,166
MID-SIZE,1.6,9.7,6.7,29,42,193
MID-SIZE,1.6,9.7,6.9,29,41,193
MID-SIZE,2,8.4,5.7,34,50,166
MID-SIZE,2,8.5,5.8,33,49,168
MID-SIZE,1.6,9.3,6.6,30,43,186
MID-SIZE,1.6,9.4,6.8,30,42,191
MID-SIZE,2,8.3,5.8,34,49,166
MID-SIZE,2,8.5,6,33,47,170
MID-SIZE,2,10.3,6.4,27,44,198
MID-SIZE,2.4,8.9,5.7,32,50,172
COMPACT,1.6,7.5,5.2,38,54,150
COMPACT,1.6,7.5,5.3,38,53,150
COMPACT,1.6,7.3,5.3,39,53,147
STATION WAG,2,9.2,6.3,31,45,182
STATION WAG,2,9.4,6.2,30,46,184
MINIVAN,3.5,12.2,8.4,23,34,242
SUV - SMALL,2.4,10.4,7.1,27,40,205
SUV - SMALL,3.3,11.4,8,25,35,225
SUV - SMALL,2.4,10.9,7.8,26,36,218
SUV - SMALL,3.3,11.9,8.4,24,34,237
STATION WAG,1.6,8.5,6.6,33,43,175
STATION WAG,1.6,8.6,6.5,33,43,177
STATION WAG,2,8.8,6.5,32,43,177
STATION WAG,2,8.4,6.5,34,43,172
SUV - SMALL,2.4,10,7,28,40,198
SUV - SMALL,2.4,11.4,7.8,25,36,225
SUV - SMALL,2,11.2,8.2,25,34,225
SUV - SMALL,2.4,10.6,7.7,27,37,214
COMPACT,1.8,4.5,4.8,63,59,106
MID-SIZE,2.5,4.7,5.1,60,55,110
